MOTTA Viviana,Dettagli,Costo,Esempio lavoro,vivianamottadesign@gmail.com,
CONSULENZA,,"€ 100,00",,,
CONSULENZA,,"€ 200,00",,,
CONSULENZA,1 ora (in base alla mansione),"€ 30,00",,,
CONSULENZA,1 ora (in base alla mansione),"€ 50,00",,,
CONSULENZA,8 ore ,"€ 250,00",,,
3D + RENDER,vista o ambiente (può  variare  in  base  alla  complessita  e  livello  di  fotorealismo + 200€ / vista stesso ambiente),"€ 300,00",,,
3D + RENDER,vista o ambiente (può  variare  in  base  alla  complessita  e  livello  di  fotorealismo + 200€ / vista stesso ambiente),"€ 400,00",,,
MOODBOARD,materialboard e ricerca arredi (per ambienti),"€ 300,00",,,
PLANIMETRIA,layout e studio spazio,"€ 300,00",,,
SET DESIGN,shooting on set (editoriale/commerciale) al giorno,"€ 500,00",,,
RICERCA PROPS,(costi di noleggio/acquisto props esclusi),"€ 200,00",,,
PACK DESIGN,Flat fee Small project ,"€ 1.000,00",,,
PACK DESIGN,Flat fee Small project ,"€ 1.000,00",,,
PACK DESIGN,Flat fee Medium project ,"€ 5.000,00",,,
PACK DESIGN,Flat fee Medium project ,"€ 5.000,00",,,
PACK DESIGN,Flat fee Large project ,"€ 20.000,00",,,
PACK DESIGN,Flat fee Large project ,"€ 20.000,00",,,
REVISIONI / MODIFICHE,"scelta, ulteriori revisioni andranno compensate secondo la tariffa oraria","€ 40,00",,,
,,,,,
,,,,,
WILLOW Prodution,Attrezzatura,Dettagli,Costo,?,Esempio lavoro
AFFITTO SALA intera giornata,"Luci 3 da 60w,una 200w, e due tubi led",NO strumenti e NO tecnici,"€ 140,00",,Video 01
AFFITTO SALA mezza giornata,"Luci 3 da 60w,una 200w, e due tubi led",NO strumenti e NO tecnici,"€ 120,00",,Video 02
