Etichetta Messa?,Codice," Articolo",Descrizione," Posizione Live",Categoria,Stato,Appunti
SI,SC-GDX-001,Stativo luce Godox (NEEWER),,Studio,"Luci, Stativo/Cavaletto",Operativo e funzionate,
NO,C-LU-GDX-001,Cavo luce Godox,,Studio,"Cavo, Luci",Operativo e funzionate,
SI,SC-GDX-002,Stativo luce Godox,,Studio,"Luci, Stativo/Cavaletto",Operativo e funzionate,
NO,C-LU-GDX-002,Cavo luce Godox,,Studio,"Cavo, Luci",Operativo e funzionate,
SI,SC-GDX-003,Stativo luce Godox,,Studio,"Luci, Stativo/Cavaletto",Operativo e funzionate,
NO,C-LU-GDX-003,Cavo luce Godox,,Studio,"Cavo, Luci",Operativo e funzionate,
SI,SC-GDX-004,Stativo luce Godox,,Studio,"Luci, Stativo/Cavaletto",Operativo e funzionate,
NO,C-LU-GDX-004,Cavo luce Godox,,Studio,"Cavo, Luci",Operativo e funzionate,
NO,SC-LU-NWR-001,Stativo luce quadrata RGB NEEWER,,Studio,"Luci, Stativo/Cavaletto",Operativo e funzionate,
NO,SC-LU-NWR-002,Stativo luce quadrata RGB NEEWER,,Studio,"Luci, Stativo/Cavaletto",Operativo e funzionate,
SI,C-LU-NWR-002,Cavo Power Supply NEEWER,,Studio,"Cavo, Luci",Operativo e funzionate,
SI,SC-TFG-004,Stativo Fondale Grande,,,,,
SI,SC-PFG-002,Palo orizzontale Fondale Grande,,,,,
SI,SC-TFG-002,Stativo Fondale Grande,,,,,
SI,SC-PFG-001,Palo orizzontale Fondale Grande,,,,,
SI,C-LU-NWR-001,Cavo Power Supply NEEWER,,Studio,"Cavo, Luci",Operativo e funzionate,
,,,,,,,
SI,LU-GDX-001,Luce Godox,,Studio,"Luce, Luci",Operativo e funzionate,
SI,SB-GDX-001,Softbox Godox,,Studio,"Accessorio, Luci",Operativo e funzionate,
SI,LU-GDX-002,Luce Godox,,Studio,"Luce, Luci",Operativo e funzionate,
SI,SB-GDX-002,Softbox Godox,,Studio,"Accessorio, Luci",Operativo e funzionate,
SI,LU-GDX-003,Luce Godox,,Studio,"Luce, Luci",Operativo e funzionate,
SI,SB-GDX-003,Softbox Godox,,Studio,"Accessorio, Luci",Operativo e funzionate,
SI,LU-GDX-004,Luce Godox,,Studio,"Luce, Luci",Operativo e funzionate,
SI,SB-GDX-004,Softbox Godox,,Studio,"Accessorio, Luci",Operativo e funzionate,
SI,LU-NWR-001,Luce Quadrata RGB NEEWER,,Studio,"Luce, Luci",Operativo e funzionate,
NO,C-LU-NWR-001,Cavo Power Supply NEEWER,,Trasferta,"Cavo, Luci",Operativo e funzionate,
,,,,,,,
SI,VC-LMX-S5-001,Lumix S5 (1),,Studio,"Videocamera, Videocamere",Operativo e funzionate,
SI,VC-LMX-S5-002,Lumix S5 (2),,Studio,"Videocamera, Videocamere",Operativo e funzionate,
SI,VC-LMX-S52-001,Lumix S5 II (3),,Studio,"Videocamera, Videocamere",Operativo e funzionate,
