Codice," Articolo"," Posizione Live",Appunti,Categoria,Descrizione,Etichetta Messa?,Parent item,Prenotazione,Stato,Sub-item
LU-GDX-001,Luce Godox,Studio,,"Luce, Luci",,SI,,,Operativo e funzionate,"SB-GDX-001 (Inventario%202025/SB-GDX-001%20bf5bba4a8f1f4697b44b89ffbf06e459.csv), SC-GDX-001 (Inventario%202025/SC-GDX-001%202fc8aa392d084264bd1f75e6d35b6eec.csv), C-LU-GDX-001 (Inventario%202025/C-LU-GDX-001%20185efa4ebdc04d9daa84e3516a1a73e1.csv)"
LU-GDX-004,Luce Godox,Studio,,"Luce, Luci",,SI,,,Operativo e funzionate,"SB-GDX-004 (Inventario%202025/SB-GDX-004%20cd71a85471b242b798ce30a75143b766.csv), SC-GDX-004 (Inventario%202025/SC-GDX-004%200a3c87822fd44b099c270319ab6bb70e.csv), C-LU-GDX-004 (Inventario%202025/C-LU-GDX-004%20fe049b90c0364347bbd388dd217bf6a2.csv)"
LU-GDX-003,Luce Godox,Studio,,"Luce, Luci",,SI,,,Operativo e funzionate,"SB-GDX-003 (Inventario%202025/SB-GDX-003%208db67cf8cfb64adfaf72c3ff6f9b78ae.csv), SC-GDX-003 (Inventario%202025/SC-GDX-003%20eaf0027ba6ad4462a1a4418715d8ca89.csv), C-LU-GDX-003 (Inventario%202025/C-LU-GDX-003%203c4bd300e4c34e0b95150ea4e74f3d12.csv)"
LU-GDX-002,Luce Godox,Studio,,"Luce, Luci",,SI,,,Operativo e funzionate,"SB-GDX-002 (Inventario%202025/SB-GDX-002%206292e1d3195e44bd8835b621162dcbf7.csv), SC-GDX-002 (Inventario%202025/SC-GDX-002%2095ae6d3131dc419090a107ac5416e0b0.csv), C-LU-GDX-002 (Inventario%202025/C-LU-GDX-002%204beddc96b6804966a1ec48e6fd81f97d.csv)"
SB-GDX-001,Softbox Godox,Studio,,"Accessorio, Luci",,SI,LU-GDX-001 (Inventario%202025/LU-GDX-001%202805d24c77f944bfbb0822e2dd747b8c.csv),,Operativo e funzionate,
SB-GDX-002,Softbox Godox,Studio,,"Accessorio, Luci",,SI,LU-GDX-002 (Inventario%202025/LU-GDX-002%20c428c664eb2249f2a3fdde4e2d273b3d.csv),,Operativo e funzionate,
SB-GDX-003,Softbox Godox,Studio,,"Accessorio, Luci",,SI,LU-GDX-003 (Inventario%202025/LU-GDX-003%20ef2074ddaa1e4d6caf7ffb048d1147f7.csv),,Operativo e funzionate,
SB-GDX-004,Softbox Godox,Studio,,"Accessorio, Luci",,SI,LU-GDX-004 (Inventario%202025/LU-GDX-004%2044b47bb4e63546049af3b9ba9df16f70.csv),,Operativo e funzionate,
SC-GDX-001,Stativo luce Godox (NEEWER),Studio,,"Luci, Stativo/Cavaletto",,SI,LU-GDX-001 (Inventario%202025/LU-GDX-001%202805d24c77f944bfbb0822e2dd747b8c.csv),,Operativo e funzionate,
SC-GDX-002,Stativo luce Godox,Studio,,"Luci, Stativo/Cavaletto",,SI,LU-GDX-002 (Inventario%202025/LU-GDX-002%20c428c664eb2249f2a3fdde4e2d273b3d.csv),,Operativo e funzionate,
